ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
0xaee9727ec0319e77da7ac49d5e4db631a75fb034aa27748e688c4bfb8458c349,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,17102243,"['Approve YIP-210', 'Do Not Approve']","[286653.5335327927, 0]",148628.83704873393
0x617192f236033eac7439ec0b3ef8765c7b5eaf4279609ff02b195fb248ca20a8,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,16735902,"['Remove 0xE from Multisigs', 'Do not remove 0xE']","[270299.6157053146, 0]",136422.78184472746
0x7e4a82c045f51625d9d707b09214b77f95ad4697ba06aa5ed9737e662afe5eeb,0x653d63E4F2D7112a19f5Eb993890a3F27b48aDa5,closed,16492331,"['immediately give access', 'do not give access']","[271379.08311656886, 0]",133685.85873804282
0x3a9fde3ecd262cf9fa900f60185df87015b167b76cc8862a6ede97b8e634ef00,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,16162448,"['Support with 5k for 1 year', 'Support with 10k for 2 years', 'Support with 15k for 3 years', 'Support with 20k for 4 years', 'Support with 25k for 5 years', 'Support with 30k for 6 years', 'Support with 35k for 7 years', 'Support with 40k for 8 years', 'Dont support']","[1423.0999021543864, 0, 0, 0, 0, 0, 0, 32.48504305625036, 746389.6302732463]",399.788359894584
0x2d05c00a62bcf549c0c2aca1a790f2058db647166deba417cd93b81953169ccb,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,16162436,"['Support vested 90 WETH 150k YAM', 'Support vested 120 WETH 200k YAM', 'Support vested 150 WETH 250k YAM', 'Dont support']","[178.60560566744277, 0, 3.43151e-19, 746474.1455576934]",399.788359894584
0xa5203245338aeab3b5e4141e82282c600acdba14788af7b5852eb13da2d2b42a,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,16162434,"['Support', 'Dont support']","[135.2285686188803, 746517.522594742]",399.788359894584
0x376c47244d414ffc7aa2cc0ffdf563f31842b90df74604551c9bc052f80d1844,0x87D4c94e893660Ea4624a2AFa881937ED8ea8C8d,closed,16107510,"['No redemption', 'Redemption forever', 'Temporary Redemption', 'For Pro-rata Split', 'Against Pro-rata Split', 'Redeem+donate to GiveDirectly', 'Redeem+donate to Gitcoin']","[194335.29187365208, 724680.3512261171, 1279092.006785721, 1116021.5784166926, 276639.1619959482, 1116006.391998456, 1167896.3313889431]",132609.73236252516
0x714af9e0c378f0e8c82267eded4e3f5abae978d2c2a02e4d858754c938ba9a72,0x2281A3Cd35AD0314f4aAB831017930078ED461F7,closed,16093458,"['No redemption', 'Redemption forever', 'Pro Rata GiveDirectly', 'Pro Rata Gitcoin']","[129377.69169087526, 577422.6911240048, 1116010.1613328247, 697359.19909238]",224865.20851381938
0x3a076b285ff586ee9159937a7370d5498347ea3a15995137154f1d66b5b5e01b,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15974975,"['Open redemption forever only', 'Redemption 1y and Gitcoin only', 'Redemption 1y and Watoto only', 'Redemption 1y and both']","[85764.26062979044, 438.6712395548985, 0.799576719789168, 0]",399.788359894584
0x69ba310a132ba3bfa6b4a98a0c0f07a7aeb03ced3a2aae52cc711e663a1f35c1,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15956443,"['Support with 5k for 1 year', 'Support with 10k for 2 years', 'Support with 15k for 3 years', 'Support with 20k for 4 years', 'Support with 25k for 5 years', 'Support with 30k for 6 years', 'Support with 35k for 7 years', 'Support with 40k for 8 years', 'Dont support']","[338.99785124072093, 0.399788359894584, 0, 2273.375099895928, 0.399788359894584, 0, 0, 8096.954605653841, 760523.6100851016]",399.788359894584
0xaf9f9c36adb15c898638cdbfbda8a30ca5afdfd184ce69bf447411e4546a6d20,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15956430,"['Support vested 90 WETH 150k YAM', 'Support vested 120 WETH 200k YAM', 'Support vested 150 WETH 250k YAM', 'Dont support']","[352.3420974853438, 7.196190478102512, 0, 762783.6409387528]",399.788359894584
0x949864fb08d32db705123bac0067e938b89a6f4e5b692ad9fc5a0cc9be2540f2,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15956154,"['Support 1-', 'Support 2-', 'Support 3-', 'Support 4-', 'Dont support 1-', 'Dont support 2-', 'Dont support 3-', 'Dont support 4-']","[2338.075751373734, 763129.4351921119, 763142.7630393432, 2280.5712903740305, 762783.6409387528, 2273.375099895928, 2273.375099895928, 762783.6409387528]",399.788359894584
0xf0f2606c06092f265a8b59dd3de7d9ac582ea9fa16f12124a24a3e3be43b96b9,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15956118,"['Support', 'Dont support']","[0.799576719789168, 763142.7630393432]",399.788359894584
0x1db960e54e07a0057c97083825b95a58b52d272e27229c468c49fe763ab8c3ee,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15757479,"['Ban / Ignore Bad Actors', 'Update Guardian Multisig', 'Do nothing']","[802766.4195093269, 803181.0892089831, 0]",143973.47279824413
0x3db446c52f54bba28b95551dfa8f55ca0a9fda868dbec04d37a46467eb3fc1bf,0xAbC8e9b22e8658Ac6d61d86cA035AFDb8a453da2,closed,15742556,"['Gitcoin', 'Watoto', 'No redemption']","[448048.5895326013, 716690.5024240956, 776984.8737066197]",240601.25754183752
0x38c6e48be58c03da0546b0d4a648d4228cf12e195c53b67a3798a73d3f2578b0,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15726934,"['Allow Redeption for 1 Month', 'Allow Redeption for 3 Months', 'Allow Redeption for 6 Months', 'Allow Redeption for 12 Months', 'Do not allow Redemption']","[821754.3110434033, 787742.8868160245, 139684.14675524994, 139649.56506211907, 0]",139354.3440362868
0xe2b29b6ed210b7737c1e397b9a9449035f265475c152986182d29588f1571232,0xAbC8e9b22e8658Ac6d61d86cA035AFDb8a453da2,closed,15713088,"['Gitcoin', 'Watoto Orphanage', 'WCK', 'LCVEF', 'Pro-rata donations based on Yam', 'None of the above']","[3.5900994718533643, 0, 0, 0, 668991.102559512, 843435.3811747682]",240601.25754183752
0x65dfb1ee046e6ec37f7b39643d73a4b43153ba3c547588dec16dd0f0c2c9ab16,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,15668619,"['$0/hr', '$10/hr', '$20/hr', '$30/hr', '$40/hr', '$50/hr', '$60/hr', '$70/hr', '$80/hr']","[0, 2273.7668924886248, 0, 0, 0, 0, 0, 0, 242372.27389585192]",64771.15651856828
0x921fee2d0a94984e28fa95c625e4ac6882b33ab999201042b335df92546d9930,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,15668513,"['YES - Approve Grant', 'NO- Disappove Grant']","[863282.8184278803, 0]",64771.15651856828
0x653cb25d654db107a274bc0fc0c906bc0ed5578fd5ca4e63dd378c62bceb69d4,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15628569,"['Remove 0xE from all Yam position', 'Do not remove 0xE']","[773810.510490516, 426112.5436468994]",129263.22305305478
0xd3d0e62259d5e2306170c38260e13eb694c84681c9f773332df9335101162e5c,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15605271,"['Approve change Hodldwon -> Jpgs', 'Do not approve']","[522846.29251277895, 299606.8371103937]",119270.7572913881
0xdfd3a7f56f68d3153d0d39ce4f6431213312e9a66b669ffcd646b257a469fa8a,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15453764,"['Approve', 'Decline']","[1167.1987148307396, 540062.46908221]",399.788359894584
0xba5a8204491324dd535f3bf161cd08b783c190e077a7de785d879e7de5c053c4,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,15435313,"['For Option 1 - condensed ', 'For Option 2 - extended', 'Against - maintain status quo']","[650939.2205918429, 95037.12953309772, 130419.3567294552]",54929.115584909974
0x727f681bb0752e00cc01dd4451a8d9eb5d6f9e408739af154f80033264f31a68,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15354450,"['Accept', 'Decline']","[750556.7382398514, 0]",399.788359894584
0x4248bd14c0f3fb1d11aef7020b7368b470b30f6ebdfe01ea925b79a4fb629ffc,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15354433,"['Accept', 'Decline']","[750428.9548898616, 0]",399.788359894584
0x1af480f7fa7fa5addfc81cd040732c40457d5c305231a82a250f1e6a3a862906,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,15353896,"[""Implement Vesting as Spec'd"", 'Do not implement Vesting']","[750428.9548898616, 0]",197.81822539177423
0xb31f6f49ae32f7f6eb94ce6ccd972ec52fc65d6520acd5a0d630556f2cb7c8ef,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,15353850,"['Proceed with contributor minting', 'Do not proceed with minting']","[767613.8984926392, 0]",197.81822539177423
0x05300baf1a1664807e9fe7c6d444f26427c79aad67717736788f0aa376ff3821,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15340275,"['Create Position', 'Do not create position', 'Vote for JPGS.ETH to be Director', 'Nominate someone else to be DIR', 'Comments in forum, please read. ']","[756358.922770147, 53308.62741285099, 755242.697807595, 77.15853279927761, 53246.465607587415]",120572.67166107183
0x7b29c8f1a7d55373948daeadab8ef04225fc0d84d57e98fd0c0da2e7057c039a,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,15315735,"['Approve', 'Deny']","[814631.0671238656, 972.7734598977132]",52649.61367304581
0x14cc38be25ae4ff374c5564f04e4860c0e5e7ca288e6679cc653643f27049b95,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15314837,"['Approve', 'Deny']","[797436.5902493565, 970.483260584218]",120526.72754762543
0xbe253f157d24c8960d3198d1a7ac9c1d089bb6c5800bb881b2a660afbe8383de,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15313844,"['Accept', 'Decline']","[274564.9016799786, 541029.754035915]",399.788359894584
0x9f73f1d5aa29853ba05e687b6ca80701cf8ea1909750767787511db6c3ba9123,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15282879,"['Recommendation #1 - Proceed', 'Recommendation #2 - Proceed', 'Recommendation #3 - Proceed', 'Recommendation #4 - Proceed', 'Do not proceed- comment on forum']","[660699.0905475938, 662568.7282175771, 660695.6044676194, 660695.6044676194, 0]",120496.91433933288
0xe5f43d738e27ef31e0834b1dd4a10541108b1a6e83947e989fdbbf1eaf45eeea,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,15078195,"['Yes, Go ahead with Redemption', ""No, Don't allow redemption""]","[610957.2567658155, 1447811.6953203804]",197.81822539177423
0xc94810b111de9f5938111ebb7770e31f2c92ce0fe8fb8110823e8a9071784b7f,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15121421,"['Approve', 'Do not approve']","[638698.9405866375, 129389.6583133036]",120514.49945730116
0xf6d162e22011713a3c194f598bf36947150d71c537d45a2e03cf57f4487c4ea5,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15088556,"['Accept', 'Decline']","[240054.23108805093, 0]",399.788359894584
0x48be1e680491b50416595d0a9a9f3e4b233edbf6b9977623fda63b1b5af3d3fc,0x99a7eDB791c290194B7d037B15E51C7aA500080A,closed,15078195,"['Yes, make YAM redeemable @ $0.25', 'No, do not make YAM redeemable']","[443924.8582012959, 376026.2420323646]",39978.8359894584
0xcac90978adfe957f3275637118418a4b9ad97a4d93757d00f086e4b1df3e1684,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,15058490,"['Send UMA', ""Don't Send UMA""]","[359659.2110493207, 44851.97417236641]",197.81822539177423
0xba931580fdd04b73b5aaa45b91801a3135bd1f858937b687da87870de379264c,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,15039030,"['Accept', 'Decline']","[3.4592154602216327, 249871.64037554263]",399.788359894584
0x31f5cf3dd15fd194b96ac5ff365340d35436346e7f9c5db74ad9a672aee01804,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,15019982,"['Approve Funding Requirements Doc', 'Deny Funding Request']","[334895.40661774704, 0]",120466.08473564194
0x7e84b5214ef2c2ac0a416534fa5fa575a71be55a38ec061d37f67e91b6833506,0xce1559448e21981911fAC70D4eC0C02cA1EFF39C,closed,14982698,"['Yambassador was malicious.', 'Not malicious, no reimbursement.', 'Reimburse Snake for two weeks.']","[60.498332378887994, 0, 70300.84257287245]",70212.24934838142
0x62bdcb6631687b81b88ae993b15e62c9d898463f231b57a775f001fcfb8e2e64,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,14980862,"['Overturn previous vote', 'Do not overturn previous vote']","[280451.80256027856, 0.199894179947292]",197.81822539177423
0x7a6316808926af70dc85c3153f240acd602f9ab57d4aadf4231be8e88d425dfb,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,14980798,"['Approve', 'Disapprove']","[277893.86618614994, 0.199894179947292]",197.81822539177423
0xfa9674cc831cd54195120cf88dbfdde4212dc678d37bdb746fcaffa289a49a33,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,14980779,"['Approve', 'Disapprove']","[281350.34566049674, 0]",197.81822539177423
0x686972cf540720430d3fc4109664b2136da98d85837e75860f161b51ba8b1890,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,14893109,"['Approve', 'Deny']","[465349.65032523574, 0]",34901.713282115656
0x314fc5ebeb6cdaa8c2db19ff83e1936d1a986533468ce0d807f458ca07e915f8,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,14893023,"['Approve', 'Deny']","[707736.5955141998, 0]",34901.713282115656
0x0bcac0c3e6f8fd7244a439003e3ef3d27f10069696e149101522b93a36144cb2,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,14806152,"['Fund This grant', 'Do Not Fund this Grant', 'abstain']","[438122.2978593067, 0, 926.1049267997868]",16075.5996147983
0x70d724c449fece87eccd0dc1ce216dea53b8a0825f4effe2e12ab274af7c4e1a,0x88c868B1024ECAefDc648eb152e91C57DeA984d0,closed,14804912,"['Fund Grant', 'Do not fund Grant', 'Abstain']","[388842.6826421778, 0, 77808.2281863785]",16075.5996147983
0x895d3e5dc357b81c215420dc5b1780c5fc9ff2b6ac0222745811e1aeb3b67c4d,0xce1559448e21981911fAC70D4eC0C02cA1EFF39C,closed,14788088,"['For', 'Against', 'Abstain']","[701451.9307107002, 0, 0]",77808.2281863785
0x71eca6d1afcaf55f1d6a5870af62a92eb402f1c1ecbc2876fb427dacba7c97fc,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,14706573,"['Accept', 'Decline']","[18622.415124551993, 476516.48222918034]",399.788359894584
0x55bb8f8a17789a389e94a8f349fcab3c7414c066f8fd2b073d72bfffa286c6eb,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,14661372,"['Replace the Stuck $YAM', 'Do not replace']","[868208.5393835927, 0]",120746.10240665165
0x87d919d8a43cdc184a74ccc80df2689ce825c509a826c38a82875920fde993ec,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,14483197,"['YES', 'NO']","[497291.7368977495, 0]",197.81822539177423
0xb2fd065b9840f082f1a5af5c8383740d7e82fda2377f36d1705f7f0ec3290387,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,14297116,"['Accept', 'Decline']","[5433.4161300425485, 356806.4118055636]",399.788359894584
0xbfafa7c9c7bc82556a6c35639614af9b78884d0631a9b94580d7a3537c496a14,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,14297116,"['Accept', 'Decline']","[361692.7176162838, 36.44192362461306]",399.788359894584
0xdc1deefd353c849fa21381ae9bc906dcd7d682aa36d21836954040a820756b95,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,14297116,"['Accept', 'Decline']","[362220.5757817265, 21.328868915720015]",399.788359894584
0x893a573179b3014b36644f02d37b9004a0b2ba6944135839a183a2240f0cf707,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,14141817,"['Accept', 'Decline']","[361223.16280243674, 0]",197.81822539177423
0x2651413f27b83847a49302ed960f9155f8844af60eb822ebf51d67e9d533037c,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,14133538,"['Pause Fuse Pool Implimentation', 'Do Not Pause Fuse Pool Impl.', 'Unsure, need more info']","[363334.2855084218, 0, 0]",197.81822539177423
0x9798a80d4e136f641a1c494d9c46a48fb7cfccf61e6d16114c798eccb5fec754,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13972594,"['YES, move forward with new model', 'NO, keep status quo', 'Resubmit proposal with changes']","[291844.3739836246, 87240.16267308417, 0]",197.81822539177423
0x80935c5696833d5349a2e35100bf35f3351824a14e37c0e0705cb19162f257b3,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13908928,"['Accept', 'Decline']","[543378.5270256583, 0]",399.788359894584
0x7d129491d6058508bb29c282333da729e4d50407f055fc19cc2bdb296a783193,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13896198,"['Accept', 'Decline']","[397890.3887096981, 0]",399.788359894584
0xe4eaa4beeeed5ee4e5ce21838c1eb8e90f487958b5e178aa0abcd987e088b7a9,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13900157,"['Accept', 'Decline']","[6311.174770864876, 393856.4205049854]",399.788359894584
0x3cdf2d39d16dc3da820131bb2c28c62c7e7113db55496a111922ea5b41fb9f54,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13896198,"['Accept', 'Decline']","[400152.98431324, 0]",399.788359894584
0x0bc922f101cbe8487beeb33e7b2bc03e259035640a95383089ed862f79d30d64,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13896198,"['Accept', 'Decline']","[400168.0015662089, 0]",399.788359894584
QmQRHzgWrqWbG2zhTkbGBLkezEJrXA9uY9Ve2JfHNxeqF8,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13773167,"['Accept', 'Decline']","[359766.7044764276, 0]",11883.277824727911
0xcdbe9b277c5545bfdb519ff0904e48a21ae2879ac3ba81ec67225af6063751be,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13709209,"['Accept', 'Decline']","[345498.64980833523, 0]",11883.277824727911
0xb86888deed3c43fcf70b6ce557320327629348343e99097321c59da5dc28817a,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13709247,"['Accept', 'Decline']","[344505.85499138315, 0]",11883.277824727911
0xf5b458f0568327825b4d921fec0696b37623309727683ddfbed30abfcf81255f,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13709160,"['Accept', 'Decline']","[344501.8571077842, 0]",11883.277824727911
0x21ea31e896ec5b5a49a3653e51e787ee834aaf953263144ab936ed756f36609f,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13620822,"['Add Ross and Snake', 'Do not add Ross and Snake']","[32594.05755968427, 0]",197.81822539177423
0xdaf98ef5a14a8aeac30f3adf7305061aa25d912556490ab32ff6e18059ed8c27,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13620784,"['Yes, Deploy Liquidity to Polygon', ""No Don't deploy to polygon""]","[365672.0947202167, 0]",197.81822539177423
0x53fd7ff2afe9c61b81aa3de28c9442f5c1b32efae1b9c5e44f3b7b398f224663,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13578433,"['Ban punk1004.eth ', 'Do no ban punk1004.eth']","[184714.0234403531, 0]",197.81822539177423
0xb175abd231c2637b6ae8c10492eafab60413753ddaf2113ac05e1d2d960ebb2a,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13578393,"['Pay Jason for October Work', ""Don't Pay Jason for October Work""]","[1150.0302555816952, 181695.7191000787]",197.81822539177423
QmZTGLiixG5Z28AuhDuVxkCBePpn4nrmoMargqcC8Mk7xw,0x1b5C706296888a9C52f0c6dcF0579b638bA7EF2a,closed,13392702,"['Approve 2 ETH MoFY mkting budget', 'Deny 2 ETH MoFY mkting budget']","[172572.1791794929, 43.37703704856237]",2054.875177854938
